date,title,url,change,compare_base,index_value,basket_index,products,event,vegetable_price,pork_price,beef_price,mutton_price,egg_price,chicken_price,fish_price,apple_price,banana_price,year,month,day,weekday,quarter,day_of_year,ma_7,ma_15,ma_30,change_percent,volatility,index_value_scaled
2023-11-05,"11月5日：""农产品批发价格200指数""比昨天上升13.20个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231105_76019626.htm,13.2,昨天,453.08,458.51,"{'vegetable': {'name': '蔬菜', 'price': 6.69, 'change_percent': 2.9, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.86, 'change_percent': 2.4, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 88.16, 'change_percent': 2.3, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 79.54, 'change_percent': 3.5, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 12.81, 'change_percent': 1.9, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.62, 'change_percent': 3.6, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.82, 'change_percent': 2.2, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.66, 'change_percent': 0.0, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.93, 'change_percent': -0.4, 'unit': '元/公斤'}}",,6.69,25.86,88.16,79.54,12.81,21.62,15.82,10.66,6.93,2023,11,5,6,4,309,491.56714285714287,515.4736363636364,515.4736363636364,2.913392778317295,4.270380266328472,3.254248608843813
2023-11-06,"11月6日：""农产品批发价格200指数""比昨天上升12.77个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231106_46539854.htm,12.77,昨天,439.88,445.16,"{'vegetable': {'name': '蔬菜', 'price': 6.68, 'change_percent': 2.7, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.94, 'change_percent': 2.8, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 88.71, 'change_percent': 3.0, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 77.21, 'change_percent': 0.5, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 12.62, 'change_percent': 0.4, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.3, 'change_percent': 2.1, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.44, 'change_percent': -0.2, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.79, 'change_percent': 1.3, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 7.24, 'change_percent': 4.2, 'unit': '元/公斤'}}",,6.68,25.94,88.71,77.21,12.62,21.3,15.44,10.79,7.24,2023,11,6,0,4,310,479.7357142857143,509.1741666666667,509.1741666666667,2.9030644721287624,4.189203811158939,3.1370747310579987
2023-11-07,"11月7日：""农产品批发价格200指数""比昨天上升11.35个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231107_73413582.htm,11.35,昨天,427.11,432.23,"{'vegetable': {'name': '蔬菜', 'price': 6.83, 'change_percent': 5.0, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.64, 'change_percent': 1.6, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 88.58, 'change_percent': 2.8, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 78.02, 'change_percent': 1.5, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 13.19, 'change_percent': 5.0, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.47, 'change_percent': 2.9, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 16.11, 'change_percent': 4.1, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 11.07, 'change_percent': 3.9, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 7.14, 'change_percent': 2.6, 'unit': '元/公斤'}}",,6.83,25.64,88.58,78.02,13.19,21.47,16.11,11.07,7.14,2023,11,7,1,4,311,467.49142857142857,502.86153846153843,502.86153846153843,2.657395050455386,1.166031119408303,3.0237178811091465
2023-11-08,"11月8日：""农产品批发价格200指数""比昨天上升10.97个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231108_22944677.htm,10.97,昨天,415.76,420.74,"{'vegetable': {'name': '蔬菜', 'price': 6.71, 'change_percent': 3.2, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.7, 'change_percent': 1.9, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 86.94, 'change_percent': 0.9, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 78.08, 'change_percent': 1.6, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 12.36, 'change_percent': -1.6, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 20.96, 'change_percent': 0.5, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.55, 'change_percent': 0.5, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.54, 'change_percent': -1.1, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 7.21, 'change_percent': 3.7, 'unit': '元/公斤'}}",,6.71,25.7,86.94,78.08,12.36,20.96,15.55,10.54,7.21,2023,11,8,2,4,312,454.03714285714284,496.64,496.64,2.6385414662305178,1.3058075406940108,2.9229660998311924
2023-11-09,"11月9日：""农产品批发价格200指数""比昨天上升11.13个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231109_75414894.htm,11.13,昨天,404.79,409.64,"{'vegetable': {'name': '蔬菜', 'price': 6.46, 'change_percent': -0.6, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.94, 'change_percent': 2.8, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 86.76, 'change_percent': 0.7, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 79.11, 'change_percent': 3.0, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 12.5, 'change_percent': -0.5, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.14, 'change_percent': 1.4, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.59, 'change_percent': 0.7, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.98, 'change_percent': 3.0, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 7.1, 'change_percent': 2.1, 'unit': '元/公斤'}}",,6.46,25.94,86.76,79.11,12.5,21.14,15.59,10.98,7.1,2023,11,9,3,4,313,441.13714285714286,490.51666666666665,490.51666666666665,2.7495738531090197,1.2587692401707333,2.8255875059440423
2023-11-10,"11月10日：""农产品批发价格200指数""比昨天上升11.47个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231110_79502062.htm,11.47,昨天,393.66,398.38,"{'vegetable': {'name': '蔬菜', 'price': 6.6, 'change_percent': 1.4, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.61, 'change_percent': 1.5, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 89.04, 'change_percent': 3.4, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 79.13, 'change_percent': 3.0, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 13.06, 'change_percent': 4.0, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.69, 'change_percent': 4.0, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.85, 'change_percent': 2.4, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 11.18, 'change_percent': 4.9, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 7.3, 'change_percent': 5.0, 'unit': '元/公斤'}}",,6.6,25.61,89.04,79.13,13.06,21.69,15.85,11.18,7.3,2023,11,10,4,4,314,428.7071428571429,478.7006666666667,484.463125,2.9136818574404306,1.0839192554710688,2.726788622629185
2023-11-11,"11月11日：""农产品批发价格200指数""比昨天上升11.13个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231111_26274194.htm,11.13,昨天,382.19,386.78,"{'vegetable': {'name': '蔬菜', 'price': 6.42, 'change_percent': -1.3, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.41, 'change_percent': 0.7, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 87.51, 'change_percent': 1.6, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 79.03, 'change_percent': 2.9, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 12.94, 'change_percent': 3.1, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.31, 'change_percent': 2.2, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.99, 'change_percent': 3.3, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.99, 'change_percent': 3.2, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 7.11, 'change_percent': 2.2, 'unit': '元/公斤'}}",,6.42,25.41,87.51,79.03,12.94,21.31,15.99,10.99,7.11,2023,11,11,5,4,315,416.6385714285715,466.23333333333335,478.44705882352946,2.912164106857846,0.8898448232831456,2.624971624280451
2023-11-12,"11月12日：""农产品批发价格200指数""比昨天上升10.81个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231112_87964547.htm,10.81,昨天,371.06,375.51,"{'vegetable': {'name': '蔬菜', 'price': 6.6, 'change_percent': 1.4, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 26.04, 'change_percent': 3.2, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 87.76, 'change_percent': 1.9, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 78.36, 'change_percent': 2.0, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 13.18, 'change_percent': 5.0, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.26, 'change_percent': 2.0, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 16.01, 'change_percent': 3.5, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 11.01, 'change_percent': 3.4, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 7.04, 'change_percent': 1.2, 'unit': '元/公斤'}}",,6.6,26.04,87.76,78.36,13.18,21.26,16.01,11.01,7.04,2023,11,12,6,4,316,404.92142857142863,454.1293333333333,472.4811111111111,2.9132754810542774,0.6530660288938951,2.5261727409655936
2023-11-13,"11月13日：""农产品批发价格200指数""比昨天上升10.40个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231113_76682466.htm,10.4,昨天,360.25,364.57,"{'vegetable': {'name': '蔬菜', 'price': 6.7, 'change_percent': 3.0, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.28, 'change_percent': 0.2, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 88.6, 'change_percent': 2.9, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 77.77, 'change_percent': 1.3, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 13.08, 'change_percent': 4.2, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.54, 'change_percent': 3.3, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 16.12, 'change_percent': 4.2, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 11.18, 'change_percent': 5.0, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 7.05, 'change_percent': 1.5, 'unit': '元/公斤'}}",,6.7,25.28,88.6,77.77,13.08,21.54,16.12,11.18,7.05,2023,11,13,0,4,317,393.5457142857143,442.378,466.57421052631577,2.8868841082581542,0.35696471747753156,2.43021443650615
2023-11-14,"11月14日：""农产品批发价格200指数""比昨天上升10.19个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231114_86001317.htm,10.19,昨天,349.85,354.05,"{'vegetable': {'name': '蔬菜', 'price': 6.49, 'change_percent': -0.1, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 26.26, 'change_percent': 4.1, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 86.67, 'change_percent': 0.7, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 77.99, 'change_percent': 1.6, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 13.18, 'change_percent': 5.0, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.17, 'change_percent': 1.5, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.56, 'change_percent': 0.6, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.9, 'change_percent': 2.4, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.92, 'change_percent': -0.4, 'unit': '元/公斤'}}",,6.49,26.26,86.67,77.99,13.18,21.17,15.56,10.9,6.92,2023,11,14,1,4,318,382.50857142857143,430.8546666666667,460.738,2.9126768615120766,0.445736415812032,2.3378956237052058
2023-11-15,"11月15日：""农产品批发价格200指数""比昨天上升9.18个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231115_38213147.htm,9.18,昨天,339.66,343.74,"{'vegetable': {'name': '蔬菜', 'price': 6.83, 'change_percent': 5.0, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.9, 'change_percent': 2.7, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 87.94, 'change_percent': 2.2, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 78.41, 'change_percent': 2.1, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 13.07, 'change_percent': 4.1, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.02, 'change_percent': 0.8, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.78, 'change_percent': 2.1, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.65, 'change_percent': 0.0, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.89, 'change_percent': -0.8, 'unit': '元/公斤'}}",,6.83,25.9,87.94,78.41,13.07,21.02,15.78,10.65,6.89,2023,11,15,2,4,319,371.63714285714286,419.31066666666663,454.97238095238095,2.7027027027027026,0.7730428436349708,2.247440940778126
